#===============================================================================
#   Lip Height Numerical Energy  Relative Error Analytical Energy Analyt. Enrgy. Error
#===============================================================================
 -0.00269200 0.000000001485932   0.00161515 0.000000001483534   0.00161627
 -0.00290600 0.000000001486058   0.00170012 0.000000001483534   0.00170133
 -0.00312000 0.000000001485834   0.00154963 0.000000001483534   0.00155093
 -0.00333400 0.000000001485789   0.00151928 0.000000001483533   0.00152067
 -0.00354800 0.000000001485746   0.00148989 0.000000001483533   0.00149137
 -0.00376200 0.000000001485790   0.00151982 0.000000001483533   0.00152139
 -0.00397600 0.000000001485754   0.00149527 0.000000001483533   0.00149693
 -0.00419000 0.000000001485707   0.00146379 0.000000001483533   0.00146554
 -0.00440400 0.000000001485734   0.00148206 0.000000001483533   0.00148390
 -0.00461800 0.000000001485660   0.00143178 0.000000001483533   0.00143371
 -0.00483200 0.000000001485637   0.00141665 0.000000001483532   0.00141866
 -0.00504600 0.000000001485607   0.00139604 0.000000001483532   0.00139814
 -0.00526000 0.000000001485567   0.00136921 0.000000001483532   0.00137140
 -0.00547400 0.000000001485517   0.00133585 0.000000001483532   0.00133813
 -0.00568800 0.000000001485485   0.00131393 0.000000001483532   0.00131630
 -0.00590200 0.000000001485446   0.00128804 0.000000001483532   0.00129050
 -0.00611600 0.000000001485401   0.00125727 0.000000001483532   0.00125982
 -0.00633000 0.000000001485366   0.00123405 0.000000001483532   0.00123668
 -0.00654400 0.000000001485156   0.00109202 0.000000001483531   0.00109475
 -0.00675800 0.000000001485123   0.00107039 0.000000001483531   0.00107321
 -0.00697200 0.000000001485088   0.00104624 0.000000001483531   0.00104915
 -0.00718600 0.000000001485219   0.00113463 0.000000001483531   0.00113762
 -0.00740000 0.000000001485185   0.00111208 0.000000001483531   0.00111516
 -0.00761400 0.000000001485147   0.00108652 0.000000001483531   0.00108969
 -0.00782800 0.000000001484960   0.00095993 0.000000001483531   0.00096319
 -0.00804200 0.000000001484943   0.00094909 0.000000001483530   0.00095244
 -0.00825600 0.000000001484910   0.00092681 0.000000001483530   0.00093025
 -0.00847000 0.000000001484878   0.00090514 0.000000001483530   0.00090867
 -0.00868400 0.000000001484846   0.00088371 0.000000001483530   0.00088732
 -0.00889800 0.000000001484806   0.00085631 0.000000001483530   0.00086002
 -0.00911200 0.000000001485111   0.00106185 0.000000001483530   0.00106564
 -0.00932600 0.000000001485158   0.00109376 0.000000001483530   0.00109765
 -0.00954000 0.000000001485047   0.00101863 0.000000001483530   0.00102260
 -0.00975400 0.000000001485018   0.00099962 0.000000001483529   0.00100368
 -0.00996800 0.000000001484699   0.00078452 0.000000001483529   0.00078867
 -0.01018200 0.000000001484668   0.00076360 0.000000001483529   0.00076784
 -0.01039600 0.000000001484641   0.00074515 0.000000001483529   0.00074948
 -0.01061000 0.000000001484615   0.00072773 0.000000001483529   0.00073214
 -0.01082400 0.000000001484584   0.00070676 0.000000001483529   0.00071127
 -0.01103800 0.000000001484600   0.00071787 0.000000001483529   0.00072246
 -0.01125200 0.000000001484573   0.00069939 0.000000001483529   0.00070407
 -0.01146600 0.000000001484564   0.00069352 0.000000001483528   0.00069829
 -0.01168000 0.000000001484519   0.00066279 0.000000001483528   0.00066765
 -0.01189400 0.000000001484762   0.00082678 0.000000001483528   0.00083173
 -0.01210800 0.000000001484465   0.00062687 0.000000001483528   0.00063190
 -0.01232200 0.000000001484458   0.00062176 0.000000001483528   0.00062688
 -0.01253600 0.000000001484452   0.00061764 0.000000001483528   0.00062285
 -0.01275000 0.000000001484426   0.00060017 0.000000001483528   0.00060548
 -0.01296400 0.000000001484399   0.00058221 0.000000001483527   0.00058761
 -0.01317800 0.000000001484373   0.00056487 0.000000001483527   0.00057036
 -0.01339200 0.000000001484725   0.00080182 0.000000001483527   0.00080739
 -0.01360600 0.000000001484699   0.00078454 0.000000001483527   0.00079020
 -0.01382000 0.000000001484672   0.00076583 0.000000001483527   0.00077158
 -0.01403400 0.000000001484263   0.00049024 0.000000001483527   0.00049607
 -0.01424800 0.000000001484235   0.00047128 0.000000001483527   0.00047721
 -0.01446200 0.000000001484211   0.00045535 0.000000001483527   0.00046137
 -0.01467600 0.000000001484187   0.00043901 0.000000001483526   0.00044511
 -0.01489000 0.000000001484165   0.00042409 0.000000001483526   0.00043028
 -0.01510400 0.000000001484359   0.00055529 0.000000001483526   0.00056157
 -0.01531800 0.000000001484334   0.00053805 0.000000001483526   0.00054442
 -0.01553200 0.000000001484310   0.00052222 0.000000001483526   0.00052867
 -0.01574600 0.000000001484285   0.00050553 0.000000001483526   0.00051208
 -0.01596000 0.000000001484262   0.00048957 0.000000001483526   0.00049621
 -0.01617400 0.000000001484384   0.00057187 0.000000001483525   0.00057860
 -0.01638800 0.000000001484001   0.00031369 0.000000001483525   0.00032051
 -0.01660200 0.000000001483980   0.00029935 0.000000001483525   0.00030625
 -0.01681600 0.000000001483958   0.00028511 0.000000001483525   0.00029210
 -0.01703000 0.000000001483936   0.00027027 0.000000001483525   0.00027735
 -0.01724400 0.000000001483918   0.00025797 0.000000001483525   0.00026513
 -0.01745800 0.000000001483898   0.00024450 0.000000001483525   0.00025175
 -0.01767200 0.000000001483882   0.00023330 0.000000001483525   0.00024065
 -0.01788600 0.000000001483902   0.00024719 0.000000001483524   0.00025462
 -0.01810000 0.000000001483882   0.00023353 0.000000001483524   0.00024105
 -0.01831400 0.000000001483827   0.00019649 0.000000001483524   0.00020410
 -0.01852800 0.000000001483811   0.00018565 0.000000001483524   0.00019335
 -0.01874200 0.000000001483771   0.00015886 0.000000001483524   0.00016665
 -0.01895600 0.000000001483752   0.00014593 0.000000001483524   0.00015381
 -0.01917000 0.000000001483734   0.00013356 0.000000001483524   0.00014152
 -0.01938400 0.000000001483736   0.00013538 0.000000001483524   0.00014343
 -0.01959800 0.000000001483721   0.00012529 0.000000001483523   0.00013343
 -0.01981200 0.000000001483704   0.00011350 0.000000001483523   0.00012173
 -0.02002600 0.000000001483687   0.00010196 0.000000001483523   0.00011028
 -0.02024000 0.000000001483671   0.00009106 0.000000001483523   0.00009947
 -0.02045400 0.000000001483670   0.00009096 0.000000001483523   0.00009946
 -0.02066800 0.000000001483628   0.00006257 0.000000001483523   0.00007116
 -0.02088200 0.000000001483597   0.00004142 0.000000001483523   0.00005009
 -0.02109600 0.000000001483592   0.00003820 0.000000001483522   0.00004696
 -0.02131000 0.000000001483576   0.00002718 0.000000001483522   0.00003604
 -0.02152400 0.000000001483555   0.00001330 0.000000001483522   0.00002224
 -0.02173800 0.000000001483515   0.00001397 0.000000001483522   0.00000494
 -0.02195200 0.000000001483704   0.00011336 0.000000001483522   0.00012247
 -0.02216600 0.000000001483686   0.00010168 0.000000001483522   0.00011089
 -0.02238000 0.000000001483466   0.00004690 0.000000001483522   0.00003761
 -0.02259400 0.000000001483654   0.00007961 0.000000001483522   0.00008899
 -0.02280800 0.000000001483637   0.00006866 0.000000001483521   0.00007813
 -0.02302200 0.000000001483622   0.00005822 0.000000001483521   0.00006778
 -0.02323600 0.000000001483606   0.00004733 0.000000001483521   0.00005698
 -0.02345000 0.000000001483588   0.00003540 0.000000001483521   0.00004514
 -0.02366400 0.000000001483573   0.00002522 0.000000001483521   0.00003504
 -0.02387800 0.000000001483557   0.00001432 0.000000001483521   0.00002423
 -0.02409200 0.000000001483542   0.00000428 0.000000001483521   0.00001428
 -0.02430600 0.000000001483528   0.00000507 0.000000001483520   0.00000502
 -0.02452000 0.000000001483514   0.00001444 0.000000001483520   0.00000425
 -0.02473400 0.000000001483499   0.00002459 0.000000001483520   0.00001432
 -0.02494800 0.000000001483292   0.00016426 0.000000001483520   0.00015391
 -0.02516200 0.000000001483469   0.00004463 0.000000001483520   0.00003418
 -0.02537600 0.000000001483454   0.00005477 0.000000001483520   0.00004424
 -0.02559000 0.000000001483441   0.00006379 0.000000001483520   0.00005317
 -0.02580400 0.000000001483427   0.00007336 0.000000001483520   0.00006265
 -0.02601800 0.000000001483227   0.00020814 0.000000001483519   0.00019734
 -0.02623200 0.000000001483510   0.00001713 0.000000001483519   0.00000624
 -0.02644600 0.000000001483493   0.00002839 0.000000001483519   0.00001741
