#================================================================
 #   Lip Height Numerical Energy  Relative Error Analytical Energy Analyt. Enrgy. Error
#================================================================
  0.00510800 0.000000001488611   0.00342097 0.000000001469698   0.01286856
  0.00499400 0.000000001488552   0.00338159 0.000000001469200   0.01317169
  0.00488000 0.000000001488492   0.00334128 0.000000001468680   0.01349012
  0.00476600 0.000000001488433   0.00330144 0.000000001468134   0.01382644
  0.00465200 0.000000001488378   0.00326395 0.000000001467562   0.01418386
  0.00453800 0.000000001488323   0.00322701 0.000000001466961   0.01456200
  0.00442400 0.000000001488271   0.00319178 0.000000001466329   0.01496360
  0.00431000 0.000000001488216   0.00315470 0.000000001465664   0.01538685
  0.00419600 0.000000001488164   0.00311967 0.000000001464962   0.01583760
  0.00408200 0.000000001488113   0.00308532 0.000000001464221   0.01631667
  0.00396800 0.000000001488063   0.00305206 0.000000001463438   0.01682691
  0.00385400 0.000000001488011   0.00301671 0.000000001462609   0.01736778
  0.00374000 0.000000001487964   0.00298518 0.000000001461728   0.01794837
  0.00362600 0.000000001487912   0.00295022 0.000000001460793   0.01856475
  0.00351200 0.000000001487866   0.00291912 0.000000001459797   0.01922824
  0.00339800 0.000000001487820   0.00288778 0.000000001458734   0.01993911
  0.00328400 0.000000001487773   0.00285612 0.000000001457597   0.02070236
  0.00317000 0.000000001487727   0.00282521 0.000000001456378   0.02152492
  0.00305600 0.000000001487681   0.00279415 0.000000001455069   0.02241256
  0.00294200 0.000000001487636   0.00276425 0.000000001453658   0.02337443
  0.00282800 0.000000001487564   0.00271581 0.000000001452133   0.02439946
  0.00271400 0.000000001487711   0.00281443 0.000000001450480   0.02566759
  0.00260000 0.000000001487479   0.00265794 0.000000001448683   0.02678010
  0.00248600 0.000000001487624   0.00275574 0.000000001446720   0.02827328
  0.00237200 0.000000001487583   0.00272834 0.000000001444569   0.02977639
  0.00225800 0.000000001487540   0.00269954 0.000000001442201   0.03143787
  0.00214400 0.000000001487530   0.00269229 0.000000001439580   0.03330776
  0.00203000 0.000000001487487   0.00266346 0.000000001436666   0.03537421
  0.00191600 0.000000001487445   0.00263554 0.000000001433405   0.03770102
  0.00180200 0.000000001487411   0.00261242 0.000000001429731   0.04034358
  0.00168800 0.000000001487043   0.00236416 0.000000001425560   0.04312851
  0.00157400 0.000000001487006   0.00233961 0.000000001420786   0.04660804
  0.00146000 0.000000001486967   0.00231289 0.000000001415267   0.05066195
  0.00134600 0.000000001486945   0.00229794 0.000000001408812   0.05545998
  0.00123200 0.000000001487234   0.00249279 0.000000001401163   0.06142824
  0.00111800 0.000000001486841   0.00222830 0.000000001391954   0.06816872
  0.00100400 0.000000001486854   0.00223686 0.000000001380653   0.07692070
  0.00089000 0.000000001486786   0.00219136 0.000000001366458   0.08805878
  0.00077600 0.000000001486747   0.00216503 0.000000001348092   0.10285324
  0.00066200 0.000000001487051   0.00236967 0.000000001323400   0.12365923
  0.00054800 0.000000001487007   0.00233973 0.000000001288436   0.15411769
  0.00043400 0.000000001486972   0.00231641 0.000000001235103   0.20392553
  0.00032000 0.000000001486934   0.00229098 0.000000001143770   0.30002849
  0.00020600 0.000000001486578   0.00205077 0.000000000951352   0.56259525
  0.00009200 0.000000001486569   0.00204453 0.000000000282070   4.27021331
 -0.00002200 0.000000001486907   0.00227242 0.000000006548981   0.77295602
 -0.00013600 0.000000001486791   0.00219417 0.000000002309600   0.35625615
 -0.00025000 0.000000001486844   0.00223048 0.000000001936534   0.23221361
 -0.00036400 0.000000001486808   0.00220603 0.000000001797147   0.17268405
 -0.00047800 0.000000001486775   0.00218352 0.000000001724245   0.13772436
 -0.00059200 0.000000001486735   0.00215639 0.000000001679421   0.11473378
 -0.00070600 0.000000001486410   0.00193760 0.000000001649072   0.09863863
 -0.00082000 0.000000001486386   0.00192143 0.000000001627162   0.08651623
 -0.00093400 0.000000001486350   0.00189723 0.000000001610600   0.07714517
 -0.00104800 0.000000001486315   0.00187388 0.000000001597641   0.06968146
 -0.00116200 0.000000001486289   0.00185594 0.000000001587225   0.06359308
 -0.00127600 0.000000001486263   0.00183882 0.000000001578670   0.05853473
 -0.00139000 0.000000001486234   0.00181888 0.000000001571519   0.05426914
 -0.00150400 0.000000001486206   0.00180000 0.000000001565451   0.05062147
 -0.00161800 0.000000001486175   0.00177944 0.000000001560239   0.04746928
 -0.00173200 0.000000001486148   0.00176126 0.000000001555712   0.04471520
 -0.00184600 0.000000001486120   0.00174240 0.000000001551745   0.04229085
 -0.00196000 0.000000001486289   0.00185625 0.000000001548239   0.04001311
 -0.00207400 0.000000001486067   0.00170668 0.000000001545119   0.03821796
 -0.00218800 0.000000001486040   0.00168822 0.000000001542323   0.03649258
 -0.00230200 0.000000001486014   0.00167098 0.000000001539805   0.03493330
 -0.00241600 0.000000001485992   0.00165585 0.000000001537524   0.03351629
 -0.00253000 0.000000001485968   0.00163980 0.000000001535449   0.03222551
 -0.00264400 0.000000001485942   0.00162184 0.000000001533552   0.03104618
 -0.00275800 0.000000001486089   0.00172095 0.000000001531813   0.02984981
 -0.00287200 0.000000001485891   0.00158803 0.000000001530211   0.02896333
 -0.00298600 0.000000001486030   0.00168135 0.000000001528732   0.02793318
 -0.00310000 0.000000001485836   0.00155085 0.000000001527362   0.02718774
 -0.00321400 0.000000001485814   0.00153606 0.000000001526088   0.02639050
 -0.00332800 0.000000001485790   0.00152002 0.000000001524902   0.02564887
 -0.00344200 0.000000001485766   0.00150384 0.000000001523795   0.02495649
 -0.00355600 0.000000001485744   0.00148870 0.000000001522759   0.02430757
 -0.00367000 0.000000001485810   0.00153295 0.000000001521786   0.02364119
 -0.00378400 0.000000001485786   0.00151715 0.000000001520873   0.02307015
 -0.00389800 0.000000001485764   0.00150249 0.000000001520013   0.02253167
 -0.00401200 0.000000001485785   0.00151650 0.000000001519202   0.02199604
 -0.00412600 0.000000001485723   0.00147427 0.000000001518435   0.02154367
 -0.00424000 0.000000001485697   0.00145736 0.000000001517710   0.02109267
 -0.00435400 0.000000001485674   0.00144181 0.000000001517023   0.02066442
 -0.00446800 0.000000001485721   0.00147302 0.000000001516371   0.02021269
 -0.00458200 0.000000001485700   0.00145874 0.000000001515751   0.01982608
 -0.00469600 0.000000001485676   0.00144318 0.000000001515161   0.01945986
 -0.00481000 0.000000001485653   0.00142744 0.000000001514600   0.01911164
 -0.00492400 0.000000001485632   0.00141289 0.000000001514064   0.01877885
 -0.00503800 0.000000001485609   0.00139796 0.000000001513552   0.01846191
 -0.00515200 0.000000001485586   0.00138251 0.000000001513064   0.01815994
 -0.00526600 0.000000001485547   0.00135579 0.000000001512596   0.01788258
 -0.00538000 0.000000001485543   0.00135309 0.000000001512148   0.01759435
 -0.00549400 0.000000001485522   0.00133894 0.000000001511719   0.01732926
 -0.00560800 0.000000001485488   0.00131645 0.000000001511307   0.01708356
 -0.00572200 0.000000001485462   0.00129864 0.000000001510912   0.01684381
 -0.00583600 0.000000001485458   0.00129569 0.000000001510532   0.01659938
 -0.00595000 0.000000001485437   0.00128200 0.000000001510166   0.01637487
 -0.00606400 0.000000001485412   0.00126506 0.000000001509814   0.01616239
 -0.00617800 0.000000001485394   0.00125299 0.000000001509476   0.01595348
 -0.00629200 0.000000001485373   0.00123855 0.000000001509149   0.01575481
 -0.00640600 0.000000001485353   0.00122520 0.000000001508834   0.01556256
 -0.00652000 0.000000001485160   0.00109499 0.000000001508531   0.01549234
 -0.00663400 0.000000001485353   0.00122482 0.000000001508237   0.01517312
 -0.00674800 0.000000001485125   0.00107154 0.000000001507954   0.01513877
 -0.00686200 0.000000001485257   0.00116073 0.000000001507680   0.01487197
 -0.00697600 0.000000001485293   0.00118465 0.000000001507414   0.01467517
 -0.00709000 0.000000001485218   0.00113407 0.000000001507158   0.01455720
 -0.00720400 0.000000001485216   0.00113267 0.000000001506909   0.01439608
 -0.00731800 0.000000001485196   0.00111924 0.000000001506669   0.01425182
 -0.00743200 0.000000001485180   0.00110837 0.000000001506435   0.01410982
 -0.00754600 0.000000001485194   0.00111783 0.000000001506209   0.01395237
 -0.00766000 0.000000001484988   0.00097928 0.000000001505989   0.01394508
 -0.00777400 0.000000001485123   0.00106987 0.000000001505776   0.01371624
 -0.00788800 0.000000001484948   0.00095220 0.000000001505569   0.01369659
 -0.00800200 0.000000001484949   0.00095308 0.000000001505368   0.01356396
 -0.00811600 0.000000001484932   0.00094123 0.000000001505173   0.01344755
 -0.00823000 0.000000001484914   0.00092941 0.000000001504983   0.01333462
 -0.00834400 0.000000001484897   0.00091793 0.000000001504798   0.01322473
 -0.00845800 0.000000001484880   0.00090642 0.000000001504618   0.01311811
 -0.00857200 0.000000001484863   0.00089479 0.000000001504443   0.01301472
 -0.00868600 0.000000001484846   0.00088351 0.000000001504272   0.01291398
 -0.00880000 0.000000001484820   0.00086597 0.000000001504106   0.01282228
 -0.00891400 0.000000001485144   0.00108431 0.000000001503944   0.01250067
 -0.00902800 0.000000001485125   0.00107119 0.000000001503787   0.01241001
 -0.00914200 0.000000001485188   0.00111366 0.000000001503633   0.01226707
 -0.00925600 0.000000001484725   0.00080183 0.000000001503483   0.01247619
 -0.00937000 0.000000001485070   0.00103442 0.000000001503336   0.01215050
 -0.00948400 0.000000001485054   0.00102329 0.000000001503193   0.01206759
 -0.00959800 0.000000001485036   0.00101158 0.000000001503054   0.01198746
 -0.00971200 0.000000001485025   0.00100397 0.000000001502918   0.01190542
 -0.00982600 0.000000001485009   0.00099309 0.000000001502785   0.01182867
 -0.00994000 0.000000001484703   0.00078673 0.000000001502655   0.01194691
 -0.01005400 0.000000001484690   0.00077812 0.000000001502528   0.01187185
 -0.01016800 0.000000001484670   0.00076488 0.000000001502403   0.01180323
 -0.01028200 0.000000001484656   0.00075563 0.000000001502282   0.01173246
